Source Code,Term Original,Value Set Name,Code System Name,Code System Version
402725005,Hyperlipidemia with lipid deposition in skin,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402726006,Primary chylomicronemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402727002,Secondary hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402785008,Primary genetic hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402786009,Chylomicronemia syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402787000,Primary genetic mixed hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
402788005,Genetic disorder of lipid storage,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403827000,Familial lipoprotein lipase deficiency with type I phenotype,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403828005,Familial lipoprotein lipase deficiency with type V phenotype,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403829002,Familial hypercholesterolemia due to heterozygous LDL receptor mutation,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403830007,Familial hypercholesterolemia due to homozygous LDL receptor mutation,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403831006,Familial hypercholesterolemia due to genetic defect of apolipoprotein B,"Dyslipidemia, All",SNOMED CT US Edition,20250901
403834003,Hyperimmunoglobulinemia D with periodic fever,"Dyslipidemia, All",SNOMED CT US Edition,20250901
40802007,"Metachromatic leukodystrophy, congenital type","Dyslipidemia, All",SNOMED CT US Edition,20250901
410059004,Hydroxymethylglutaric aciduria,"Dyslipidemia, All",SNOMED CT US Edition,20250901
41142009,"Globoid cell leukodystrophy, late-onset","Dyslipidemia, All",SNOMED CT US Edition,20250901
42012007,Neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
426020004,Fat overload syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
426161002,Chemically induced hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
426387005,Long-chain fatty acid transport deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
428014009,Homozygous sitosterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
428530009,Heterozygous sitosterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
43465001,Inborn error of lipoprotein metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
43929004,Smith-Lemli-Opitz syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
44359008,"Metachromatic leukodystrophy, juvenile type","Dyslipidemia, All",SNOMED CT US Edition,20250901
444944006,"Deficiency of 2,4-dienoyl-CoA reductase","Dyslipidemia, All",SNOMED CT US Edition,20250901
445010006,Low density lipoprotein receptor mutation,"Dyslipidemia, All",SNOMED CT US Edition,20250901
445261005,Posttransplant hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
446923008,Lipoprotein glomerulopathy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
448834003,High density lipoprotein deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
47683004,"Metachromatic leukodystrophy, late infantile type","Dyslipidemia, All",SNOMED CT US Edition,20250901
48286001,Disorder of lipoprotein AND/OR lipid metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
49227001,Phosphatidylcholine-sterol acyltransferase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
49562005,Adult chronic GM2 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
49973006,Familial lipoprotein deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
50967008,Gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
52165006,"Niemann-Pick disease, type A","Dyslipidemia, All",SNOMED CT US Edition,20250901
54898003,Multiple sulfatase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
55341000119107,Carnitine deficiency due to inborn error of metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
55822004,Hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
57218003,Cholesterol ester storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
58258004,Infantile neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
58459009,Sphingomyelin/cholesterol lipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
